lang,encoder,cut,value,SIM,95% CI,n,speakers,small cell
en-US,wavlm_sv,prompt duration,3.7-4.5,0.9284,"[0.9225, 0.9338]",301,204,False
en-US,wavlm_sv,prompt duration,<3.7,0.9228,"[0.9137, 0.9308]",149,112,False
en-US,wavlm_sv,prompt duration,>=4.5,0.9367,"[0.9322, 0.9406]",459,315,False
en-US,wavlm_sv,second-clip duration,3.5-4.5,0.948,"[0.9435, 0.9526]",166,133,False
en-US,wavlm_sv,second-clip duration,<3.5,0.9268,"[0.9227, 0.9306]",686,449,False
en-US,wavlm_sv,second-clip duration,>=4.5,0.9432,"[0.9316, 0.9533]",57,49,False
en-US,wavlm_sv,gender,female,0.9301,"[0.9257, 0.9341]",556,278,False
en-US,wavlm_sv,gender,male,0.9317,"[0.9255, 0.9378]",197,197,False
en-US,wavlm_sv,gender,unknown,0.9372,"[0.9301, 0.9436]",156,156,False
en-US,wavlm_ft,prompt duration,3.7-4.5,0.6414,"[0.6263, 0.6556]",301,204,False
en-US,wavlm_ft,prompt duration,<3.7,0.6265,"[0.6069, 0.6458]",149,112,False
en-US,wavlm_ft,prompt duration,>=4.5,0.6672,"[0.6532, 0.6797]",459,315,False
en-US,wavlm_ft,second-clip duration,3.5-4.5,0.698,"[0.6805, 0.7141]",166,133,False
en-US,wavlm_ft,second-clip duration,<3.5,0.6368,"[0.6267, 0.6471]",686,449,False
en-US,wavlm_ft,second-clip duration,>=4.5,0.701,"[0.6640, 0.7347]",57,49,False
en-US,wavlm_ft,gender,female,0.6352,"[0.6221, 0.6478]",556,278,False
en-US,wavlm_ft,gender,male,0.6623,"[0.6463, 0.6771]",197,197,False
en-US,wavlm_ft,gender,unknown,0.699,"[0.6822, 0.7148]",156,156,False
en-US,ecapa,prompt duration,3.7-4.5,0.6003,"[0.5841, 0.6158]",301,204,False
en-US,ecapa,prompt duration,<3.7,0.5754,"[0.5551, 0.5958]",149,112,False
en-US,ecapa,prompt duration,>=4.5,0.6358,"[0.6218, 0.6487]",459,315,False
en-US,ecapa,second-clip duration,3.5-4.5,0.6632,"[0.6457, 0.6804]",166,133,False
en-US,ecapa,second-clip duration,<3.5,0.5985,"[0.5879, 0.6089]",686,449,False
en-US,ecapa,second-clip duration,>=4.5,0.66,"[0.6189, 0.6975]",57,49,False
en-US,ecapa,gender,female,0.6026,"[0.5886, 0.6155]",556,278,False
en-US,ecapa,gender,male,0.6145,"[0.5978, 0.6306]",197,197,False
en-US,ecapa,gender,unknown,0.655,"[0.6366, 0.6726]",156,156,False
es-ES,wavlm_sv,prompt duration,3.7-4.5,0.9476,"[0.9438, 0.9511]",492,240,False
es-ES,wavlm_sv,prompt duration,<3.7,0.9321,"[0.9169, 0.9435]",263,130,False
es-ES,wavlm_sv,prompt duration,>=4.5,0.9456,"[0.9409, 0.9501]",467,220,False
es-ES,wavlm_sv,second-clip duration,3.5-4.5,0.9528,"[0.9466, 0.9588]",175,78,False
es-ES,wavlm_sv,second-clip duration,<3.5,0.9413,"[0.9363, 0.9454]",1005,494,False
es-ES,wavlm_sv,second-clip duration,>=4.5,0.9572,"[0.9518, 0.9628]",42,18,True
es-ES,wavlm_sv,gender,female,0.9424,"[0.9347, 0.9488]",507,169,False
es-ES,wavlm_sv,gender,male,0.9444,"[0.9405, 0.9478]",652,384,False
es-ES,wavlm_sv,gender,unknown,0.9426,"[0.9332, 0.9519]",63,37,False
es-ES,wavlm_ft,prompt duration,3.7-4.5,0.6981,"[0.6860, 0.7096]",492,240,False
es-ES,wavlm_ft,prompt duration,<3.7,0.6411,"[0.6159, 0.6637]",263,130,False
es-ES,wavlm_ft,prompt duration,>=4.5,0.7059,"[0.6911, 0.7200]",467,220,False
es-ES,wavlm_ft,second-clip duration,3.5-4.5,0.7383,"[0.7186, 0.7568]",175,78,False
es-ES,wavlm_ft,second-clip duration,<3.5,0.6777,"[0.6667, 0.6882]",1005,494,False
es-ES,wavlm_ft,second-clip duration,>=4.5,0.747,"[0.7133, 0.7790]",42,18,True
es-ES,wavlm_ft,gender,female,0.6924,"[0.6749, 0.7083]",507,169,False
es-ES,wavlm_ft,gender,male,0.6865,"[0.6756, 0.6967]",652,384,False
es-ES,wavlm_ft,gender,unknown,0.6833,"[0.6562, 0.7075]",63,37,False
es-ES,ecapa,prompt duration,3.7-4.5,0.6615,"[0.6488, 0.6733]",492,240,False
es-ES,ecapa,prompt duration,<3.7,0.6014,"[0.5746, 0.6270]",263,130,False
es-ES,ecapa,prompt duration,>=4.5,0.6667,"[0.6510, 0.6818]",467,220,False
es-ES,ecapa,second-clip duration,3.5-4.5,0.7017,"[0.6805, 0.7219]",175,78,False
es-ES,ecapa,second-clip duration,<3.5,0.6393,"[0.6278, 0.6501]",1005,494,False
es-ES,ecapa,second-clip duration,>=4.5,0.7062,"[0.6677, 0.7408]",42,18,True
es-ES,ecapa,gender,female,0.6518,"[0.6329, 0.6697]",507,169,False
es-ES,ecapa,gender,male,0.6503,"[0.6388, 0.6610]",652,384,False
es-ES,ecapa,gender,unknown,0.6433,"[0.6132, 0.6722]",63,37,False
es-MX,wavlm_sv,prompt duration,3.7-4.5,0.9455,"[0.9418, 0.9490]",425,279,False
es-MX,wavlm_sv,prompt duration,<3.7,0.9377,"[0.9304, 0.9447]",234,160,False
es-MX,wavlm_sv,prompt duration,>=4.5,0.9492,"[0.9460, 0.9524]",542,332,False
es-MX,wavlm_sv,second-clip duration,3.5-4.5,0.9519,"[0.9468, 0.9568]",248,149,False
