lang,A,B,WER A,WER B,delta (A−B),95% CI,identical transcripts,n shared
en-US,elevenlabs,whisper,0.0515,0.0774,-0.0259,"[-0.0309, -0.0209]",68.2%,1500
en-US,elevenlabs,mms,0.0515,0.1784,-0.1269,"[-0.1357, -0.1183]",32.1%,1500
en-US,whisper,mms,0.0774,0.1784,-0.1011,"[-0.1086, -0.0934]",32.0%,1500
es-ES,elevenlabs,whisper,0.0269,0.0452,-0.0183,"[-0.0227, -0.0143]",78.8%,1499
es-ES,elevenlabs,mms,0.0269,0.1248,-0.0979,"[-0.1065, -0.0895]",49.0%,1499
es-ES,whisper,mms,0.0452,0.1248,-0.0796,"[-0.0871, -0.0717]",50.0%,1499
es-MX,elevenlabs,whisper,0.0351,0.0613,-0.0262,"[-0.0321, -0.0207]",73.9%,1500
es-MX,elevenlabs,mms,0.0351,0.1482,-0.1131,"[-0.1240, -0.1028]",42.0%,1500
es-MX,whisper,mms,0.0613,0.1482,-0.0869,"[-0.0952, -0.0788]",43.0%,1500
nl-NL,elevenlabs,whisper,0.0159,0.0385,-0.0226,"[-0.0277, -0.0186]",78.9%,1500
nl-NL,elevenlabs,mms,0.0159,0.078,-0.0621,"[-0.0730, -0.0540]",58.7%,1500
nl-NL,whisper,mms,0.0385,0.078,-0.0395,"[-0.0478, -0.0328]",57.3%,1500
pt-BR,elevenlabs,whisper,0.0531,0.0737,-0.0207,"[-0.0307, -0.0120]",73.7%,1500
pt-BR,elevenlabs,mms,0.0531,0.2242,-0.1712,"[-0.1953, -0.1497]",36.2%,1500
pt-BR,whisper,mms,0.0737,0.2242,-0.1505,"[-0.1682, -0.1333]",35.4%,1500
ky,elevenlabs,mms,0.1829,0.2425,-0.0596,"[-0.0838, -0.0361]",20.3%,694
ky,elevenlabs,gigaam,0.1829,0.0998,0.0831,"[0.0629, 0.1046]",43.1%,694
ky,mms,gigaam,0.2425,0.0998,0.1427,"[0.1273, 0.1593]",24.8%,694
