lang,ASR,cut,value,WER corpus,95% CI,n,speakers,small cell
en-US,elevenlabs,target length,10-12,0.0457,"[0.0377, 0.0537]",450,377,False
en-US,elevenlabs,target length,13-16,0.0465,"[0.0374, 0.0568]",345,306,False
en-US,elevenlabs,target length,17+,0.0397,"[0.0171, 0.0668]",30,29,False
en-US,elevenlabs,target length,3-5,0.0801,"[0.0560, 0.1051]",225,220,False
en-US,elevenlabs,target length,6-9,0.0605,"[0.0503, 0.0711]",450,387,False
en-US,elevenlabs,gender,female,0.0566,"[0.0487, 0.0649]",676,565,False
en-US,elevenlabs,gender,male,0.0422,"[0.0340, 0.0514]",442,386,False
en-US,elevenlabs,gender,unknown,0.0534,"[0.0428, 0.0659]",382,335,False
en-US,whisper,target length,10-12,0.076,"[0.0655, 0.0868]",450,377,False
en-US,whisper,target length,13-16,0.0697,"[0.0590, 0.0814]",345,306,False
en-US,whisper,target length,17+,0.0466,"[0.0261, 0.0704]",30,29,False
en-US,whisper,target length,3-5,0.0933,"[0.0690, 0.1185]",225,220,False
en-US,whisper,target length,6-9,0.0903,"[0.0755, 0.1054]",450,387,False
en-US,whisper,gender,female,0.0803,"[0.0714, 0.0901]",676,565,False
en-US,whisper,gender,male,0.0712,"[0.0596, 0.0832]",442,386,False
en-US,whisper,gender,unknown,0.0794,"[0.0670, 0.0927]",382,335,False
en-US,mms,target length,10-12,0.1803,"[0.1635, 0.1970]",450,377,False
en-US,mms,target length,13-16,0.1656,"[0.1513, 0.1802]",345,306,False
en-US,mms,target length,17+,0.1121,"[0.0769, 0.1518]",30,29,False
en-US,mms,target length,3-5,0.1897,"[0.1552, 0.2255]",225,220,False
en-US,mms,target length,6-9,0.201,"[0.1805, 0.2210]",450,387,False
en-US,mms,gender,female,0.1902,"[0.1746, 0.2052]",676,565,False
en-US,mms,gender,male,0.1586,"[0.1439, 0.1749]",442,386,False
en-US,mms,gender,unknown,0.1809,"[0.1627, 0.2009]",382,335,False
es-ES,elevenlabs,target length,10-12,0.0214,"[0.0166, 0.0261]",450,286,False
es-ES,elevenlabs,target length,13-16,0.0243,"[0.0178, 0.0327]",375,244,False
es-ES,elevenlabs,target length,3-5,0.0593,"[0.0371, 0.0835]",225,172,False
es-ES,elevenlabs,target length,6-9,0.0298,"[0.0216, 0.0398]",449,295,False
es-ES,elevenlabs,gender,female,0.035,"[0.0275, 0.0430]",569,362,False
es-ES,elevenlabs,gender,male,0.0223,"[0.0183, 0.0266]",815,433,False
es-ES,elevenlabs,gender,unknown,0.0183,"[0.0090, 0.0292]",115,102,False
es-ES,whisper,target length,10-12,0.0371,"[0.0301, 0.0449]",450,286,False
es-ES,whisper,target length,13-16,0.0443,"[0.0359, 0.0537]",375,244,False
es-ES,whisper,target length,3-5,0.0858,"[0.0615, 0.1105]",225,172,False
es-ES,whisper,target length,6-9,0.0472,"[0.0372, 0.0579]",449,295,False
es-ES,whisper,gender,female,0.0509,"[0.0416, 0.0602]",569,362,False
es-ES,whisper,gender,male,0.0419,"[0.0360, 0.0482]",815,433,False
es-ES,whisper,gender,unknown,0.0403,"[0.0253, 0.0576]",115,102,False
es-ES,mms,target length,10-12,0.1219,"[0.1069, 0.1369]",450,286,False
es-ES,mms,target length,13-16,0.1196,"[0.1052, 0.1341]",375,244,False
es-ES,mms,target length,3-5,0.1864,"[0.1473, 0.2237]",225,172,False
es-ES,mms,target length,6-9,0.1198,"[0.1034, 0.1381]",449,295,False
es-ES,mms,gender,female,0.1373,"[0.1220, 0.1513]",569,362,False
es-ES,mms,gender,male,0.1154,"[0.1040, 0.1272]",815,433,False
es-ES,mms,gender,unknown,0.1282,"[0.0998, 0.1570]",115,102,False
es-MX,elevenlabs,target length,10-12,0.0393,"[0.0314, 0.0485]",450,301,False
es-MX,elevenlabs,target length,13-16,0.0262,"[0.0197, 0.0336]",375,276,False
es-MX,elevenlabs,target length,3-5,0.0575,"[0.0361, 0.0825]",225,174,False
es-MX,elevenlabs,target length,6-9,0.0361,"[0.0264, 0.0477]",450,304,False
es-MX,elevenlabs,gender,female,0.0375,"[0.0290, 0.0467]",562,376,False
es-MX,elevenlabs,gender,male,0.0324,"[0.0266, 0.0382]",835,492,False
