lang,encoder,n rows,speakers,distinct values,anchor,95% CI,floor mean,floor p95,floor pairs,usable range,sim_norm formula
en-US,wavlm_sv,909,631,629,0.9317,"[0.9283, 0.9347]",0.6119,0.8707,5000,0.3198,(x − 0.6119) / 0.3198
en-US,wavlm_ft,909,631,630,0.652,"[0.6424, 0.6601]",0.0725,0.2483,5000,0.5795,(x − 0.0725) / 0.5795
en-US,ecapa,909,631,631,0.6141,"[0.6042, 0.6227]",0.0822,0.2447,5000,0.5319,(x − 0.0822) / 0.5319
es-ES,wavlm_sv,1222,590,587,0.9435,"[0.9392, 0.9469]",0.7286,0.9245,5000,0.2149,(x − 0.7286) / 0.2149
es-ES,wavlm_ft,1222,590,590,0.6888,"[0.6791, 0.6980]",0.1302,0.3183,5000,0.5586,(x − 0.1302) / 0.5586
es-ES,ecapa,1222,590,589,0.6505,"[0.6405, 0.6599]",0.132,0.3206,5000,0.5185,(x − 0.1320) / 0.5185
es-MX,wavlm_sv,1201,771,768,0.9456,"[0.9432, 0.9480]",0.7315,0.932,5000,0.2141,(x − 0.7315) / 0.2141
es-MX,wavlm_ft,1201,771,769,0.6882,"[0.6811, 0.6956]",0.1685,0.3576,5000,0.5197,(x − 0.1685) / 0.5197
es-MX,ecapa,1201,771,769,0.635,"[0.6268, 0.6438]",0.122,0.299,5000,0.5131,(x − 0.1220) / 0.5131
nl-NL,wavlm_sv,1319,412,412,0.9285,"[0.9235, 0.9331]",0.7446,0.9215,5000,0.184,(x − 0.7446) / 0.1840
nl-NL,wavlm_ft,1319,412,412,0.6708,"[0.6619, 0.6797]",0.174,0.352,5000,0.4969,(x − 0.1740) / 0.4969
nl-NL,ecapa,1319,412,412,0.6232,"[0.6134, 0.6336]",0.1866,0.3666,5000,0.4366,(x − 0.1866) / 0.4366
pt-BR,wavlm_sv,983,161,161,0.9339,"[0.9265, 0.9403]",0.765,0.9248,5000,0.1689,(x − 0.7650) / 0.1689
pt-BR,wavlm_ft,983,161,161,0.6346,"[0.6166, 0.6502]",0.1864,0.3754,5000,0.4482,(x − 0.1864) / 0.4482
pt-BR,ecapa,983,161,161,0.5763,"[0.5578, 0.5930]",0.1257,0.2993,5000,0.4506,(x − 0.1257) / 0.4506
ky,wavlm_sv,599,155,155,0.9214,"[0.9121, 0.9302]",0.7173,0.9279,5000,0.204,(x − 0.7173) / 0.2040
ky,wavlm_ft,599,155,155,0.6069,"[0.5849, 0.6267]",0.184,0.3837,5000,0.4229,(x − 0.1840) / 0.4229
ky,ecapa,599,155,155,0.5593,"[0.5371, 0.5811]",0.1484,0.3428,5000,0.411,(x − 0.1484) / 0.4110
